no_pais;no_sec_por;vl_fob;ano
Afeganistão;Animais vivos e prod..;15956735;2020
Afeganistão;Instrumentos e apare..;104000;2020
Afeganistão;Madeira, carvão vege..;29201;2020
Afeganistão;Máquinas e aparelhos..;76919;2020
Afeganistão;Matérias têxteis e s..;559969;2020
Afeganistão;Metais comuns e suas..;146;2020
Afeganistão;Pastas de madeira ou..;470;2020
Afeganistão;Plásticos e suas obr..;529;2020
Afeganistão;Produtos das indústr..;166081;2020
Afeganistão;Produtos das indútri..;18818444;2020
Afeganistão;Produtos do reino ve..;1674863;2020
Afeganistão;Produtos minerais;42535;2020
África do Sul;Animais vivos e prod..;139445465;2020
África do Sul;"Armas e munições; su..";1649015;2020
África do Sul;Calçado, chapéus e a..;4483266;2020
África do Sul;Gorduras e óleos ani..;2488483;2020
África do Sul;Instrumentos e apare..;4750433;2020
África do Sul;Madeira, carvão vege..;15239326;2020
África do Sul;Máquinas e aparelhos..;119067369;2020
África do Sul;Material de transpor..;116744663;2020
África do Sul;Matérias têxteis e s..;2704669;2020
África do Sul;Mercadorias e produt..;5057157;2020
África do Sul;Metais comuns e suas..;104489487;2020
África do Sul;Obras de pedra, gess..;5465858;2020
África do Sul;Pastas de madeira ou..;85890206;2020
África do Sul;Peles, couros, peles..;2701595;2020
África do Sul;Pérolas naturais ou ..;18892832;2020
África do Sul;Plásticos e suas obr..;27913897;2020
África do Sul;Produtos das indústr..;50458508;2020
África do Sul;Produtos das indútri..;90680535;2020
África do Sul;Produtos do reino ve..;80009975;2020
África do Sul;Produtos minerais;110895011;2020
Aland, Ilhas;Máquinas e aparelhos..;140;2020
Aland, Ilhas;Obras de pedra, gess..;1042;2020
Aland, Ilhas;Produtos das indútri..;21;2020
Albânia;Animais vivos e prod..;32468175;2020
Albânia;"Armas e munições; su..";65000;2020
Albânia;Calçado, chapéus e a..;113595;2020
Albânia;Gorduras e óleos ani..;85296;2020
Albânia;Instrumentos e apare..;41029;2020
Albânia;Máquinas e aparelhos..;333033;2020
Albânia;Material de transpor..;1345;2020
Albânia;Matérias têxteis e s..;2319;2020
Albânia;Mercadorias e produt..;4955;2020
Albânia;Metais comuns e suas..;9560334;2020
Albânia;Pastas de madeira ou..;40972;2020
Albânia;Peles, couros, peles..;55457;2020
Albânia;Plásticos e suas obr..;12501;2020
Albânia;Produtos das indústr..;39059;2020
Albânia;Produtos das indútri..;2744374;2020
Albânia;Produtos do reino ve..;3051338;2020
Albânia;Produtos minerais;74032;2020
Alemanha;Animais vivos e prod..;98732327;2020
Alemanha;"Armas e munições; su..";8665993;2020
Alemanha;Calçado, chapéus e a..;55994750;2020
Alemanha;Gorduras e óleos ani..;21691504;2020
Alemanha;Instrumentos e apare..;27124076;2020
Alemanha;Madeira, carvão vege..;51501639;2020
Alemanha;Máquinas e aparelhos..;492450986;2020
Alemanha;Material de transpor..;88109026;2020
Alemanha;Matérias têxteis e s..;4027805;2020
Alemanha;Mercadorias e produt..;10193437;2020
Alemanha;Metais comuns e suas..;86435588;2020
Alemanha;Objetos de arte, de ..;1579270;2020
Alemanha;Obras de pedra, gess..;28628565;2020
Alemanha;Pastas de madeira ou..;107806460;2020
Alemanha;Peles, couros, peles..;42217753;2020
Alemanha;Pérolas naturais ou ..;157032040;2020
Alemanha;Plásticos e suas obr..;32314986;2020
Alemanha;Produtos das indústr..;268130739;2020
Alemanha;Produtos das indútri..;645268565;2020
Alemanha;Produtos do reino ve..;1050633924;2020
Alemanha;Produtos minerais;845189206;2020
Andorra;Instrumentos e apare..;843;2020
Andorra;Madeira, carvão vege..;44467;2020
Andorra;Máquinas e aparelhos..;121450;2020
Andorra;Material de transpor..;27374;2020
Andorra;Matérias têxteis e s..;24;2020
Andorra;Metais comuns e suas..;1755;2020
Andorra;Pastas de madeira ou..;72;2020
Andorra;Pérolas naturais ou ..;54;2020
Andorra;Plásticos e suas obr..;1975;2020
Andorra;Produtos das indústr..;3628;2020
Andorra;Produtos minerais;361;2020
Angola;Animais vivos e prod..;78733255;2020
Angola;Calçado, chapéus e a..;9271756;2020
Angola;Gorduras e óleos ani..;3607310;2020
Angola;Instrumentos e apare..;2406191;2020
Angola;Madeira, carvão vege..;1425454;2020
